,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
0,,1,Donovan Mitchell,UTA,7,37.7,11.9,22.4,0.529,4.7,9.1,0.516,7.9,8.3,0.948,4.1,1.6,0.9,4.1,5.0,4.9,1.0,0.3,36.3,88
1,,2,Luka Doncic,DAL,6,35.8,10.7,21.3,0.5,2.7,7.3,0.364,7.0,10.7,0.6559999999999999,5.2,2.8,0.7,9.2,9.8,8.7,1.2,0.5,31.0,94
2,,3,Joel Embiid,PHI,4,36.1,8.5,18.5,0.45899999999999996,1.0,4.0,0.25,12.0,14.8,0.8140000000000001,3.8,4.5,2.8,9.5,12.2,1.2,1.5,1.2,30.0,91
3,,4,James Harden,HOU,12,37.3,9.1,19.0,0.478,3.2,9.8,0.33299999999999996,8.2,9.7,0.845,3.8,3.6,1.0,4.6,5.6,7.7,1.5,0.8,29.6,96
4,,5,Kawhi Leonard,LAC,13,39.3,10.1,20.6,0.489,1.8,5.6,0.32899999999999996,6.2,7.2,0.862,2.5,2.2,1.8,7.5,9.3,5.5,2.3,0.8,28.2,96
5,,6,Nikola Vucevic,ORL,5,36.9,11.2,22.2,0.505,3.6,8.8,0.409,2.0,2.2,0.909,2.6,2.6,1.8,9.2,11.0,4.0,0.8,0.6,28.0,86
6,,7,Anthony Davis,LAL,21,36.6,9.8,17.1,0.5710000000000001,1.1,2.9,0.38299999999999995,7.1,8.5,0.8320000000000001,2.5,2.7,2.6,7.1,9.7,3.5,1.2,1.4,27.7,95
7,,8,LeBron James,LAL,21,36.3,10.2,18.2,0.56,2.1,5.7,0.37,5.1,7.1,0.72,4.0,1.9,1.3,9.4,10.8,8.8,1.2,0.9,27.6,97
8,,9,Giannis Antetokounmpo,MIL,9,30.8,10.0,17.9,0.5589999999999999,1.4,4.4,0.325,5.2,9.0,0.58,3.3,3.4,3.0,10.8,13.8,5.7,0.7,0.9,26.7,97
9,,10,Jamal Murray,DEN,19,39.6,9.8,19.4,0.505,3.3,7.2,0.45299999999999996,3.7,4.1,0.897,2.8,2.2,1.1,3.8,4.8,6.6,0.9,0.3,26.5,85
10,,11,Jayson Tatum,BOS,17,40.6,8.5,19.6,0.434,2.8,7.4,0.373,5.9,7.2,0.813,2.8,2.4,1.3,8.7,10.0,5.0,1.0,1.2,25.7,87
11,,12,Nikola Jokic,DEN,19,36.5,9.4,18.1,0.519,2.2,5.2,0.429,3.5,4.2,0.835,3.3,3.6,1.9,7.9,9.8,5.7,1.1,0.8,24.4,90
12,,13,Damian Lillard,POR,4,35.6,6.5,16.0,0.406,3.2,8.2,0.39399999999999996,8.0,8.2,0.97,3.5,1.0,0.2,3.2,3.5,4.2,0.5,0.2,24.2,94
13,,14,Kristaps Porzingis,DAL,3,31.4,7.0,13.3,0.525,3.0,5.7,0.529,6.7,7.7,0.87,1.0,3.0,1.0,7.7,8.7,0.7,0.0,1.0,23.7,87
15,,16,Jimmy Butler,MIA,21,38.4,6.9,14.0,0.488,0.7,2.0,0.349,7.8,9.1,0.8590000000000001,2.8,1.8,2.2,4.3,6.5,6.0,2.0,0.7,22.2,89
16,,17,Jaylen Brown,BOS,17,39.5,8.1,16.9,0.47600000000000003,2.5,7.1,0.358,3.1,3.7,0.841,2.4,2.8,1.4,6.1,7.5,2.3,1.5,0.5,21.8,84
17,,18,Malcolm Brogdon,IND,4,39.9,6.5,16.2,0.4,2.2,6.0,0.375,6.2,7.0,0.893,2.5,2.5,0.0,4.2,4.2,10.0,1.0,0.0,21.5,83
18,,19,Chris Paul,OKC,7,37.3,7.9,16.0,0.491,2.3,6.1,0.37200000000000005,3.3,3.7,0.885,3.3,2.6,0.4,7.0,7.4,5.3,1.6,0.4,21.3,88
